step,value,wall_time
4,13.748041152954102,1758310305.2556226
5,14.099834442138672,1758310640.8833437
6,14.48480224609375,1758310976.1475146
7,14.837722778320312,1758311308.2489476
8,15.153944969177246,1758311646.084139
9,15.414501190185547,1758311981.638389
10,15.63891887664795,1758312319.8380246
11,15.856480598449707,1758312656.9064395
12,16.04595947265625,1758312991.301587
13,16.188491821289062,1758313330.2686756
14,16.34203338623047,1758313667.0525289
15,16.468900680541992,1758314008.7729125
16,16.569751739501953,1758314343.0775237
17,16.678726196289062,1758314675.0140634
18,16.780609130859375,1758315013.1205423
19,16.872774124145508,1758315349.8010502
20,16.944271087646484,1758315686.9283655
21,17.02025032043457,1758316023.6091187
22,17.09958267211914,1758316362.1055117
23,17.166545867919922,1758316699.7423115
24,17.250919342041016,1758317039.985655
25,17.27863121032715,1758317376.8283644
26,17.33930778503418,1758317709.8785546
27,17.40340805053711,1758318050.0843656
28,17.45117950439453,1758318383.8913841
29,17.48406219482422,1758318717.952622
30,17.528255462646484,1758319057.159873
31,17.559307098388672,1758319392.398998
32,17.571802139282227,1758319729.9569104
33,17.596479415893555,1758320064.8146555
34,17.578895568847656,1758320398.86703
35,17.53959083557129,1758320735.3912714
36,17.46184539794922,1758321067.7120361
37,17.439298629760742,1758321398.8849304
38,17.427204132080078,1758321731.238911
39,17.417009353637695,1758322062.6459315
40,17.408977508544922,1758322396.764373
41,17.38912010192871,1758322727.4392343
